source,profile,date,vendor,description,kind,amount,schedule_c_line,deductible_pct,deductible_amount,confidence,risk_level,flags
1099-nec_globex.png,form_1099nec,2025-12-31,Globex Consulting LLC,1099-NEC nonemployee compensation (Box 1),income,42750.0,,100.0,0.0,0.0,low,
receipt_cafe.png,receipt,2025-04-11,THE CORNER CAFE,2 Lattes and Avocado Toast for a business meeting with a client,expense,25.5,Line 24b - Deductible meals (50%),50.0,12.75,0.95,medium,Audit-sensitive category: Meals
receipt_office_depot.png,receipt,2025-03-22,OFFICE DEPOT #2241,"Printer Ink HP 952XL, Copy Paper 5-ream, and USB-C Hub",expense,181.69,Line 22 - Supplies,100.0,181.69,0.9,low,
transactions.csv,spreadsheet,2025-01-15,Adobe,Creative Cloud subscription,expense,59.99,Line 18 - Office expense,100.0,59.99,0.9,low,
transactions.csv,spreadsheet,2025-02-03,United Airlines,Flight to client onsite SFO,expense,412.4,Line 24a - Travel,100.0,412.4,0.95,high,Audit-sensitive category: Travel; No supporting receipt for substantiation-required expense
transactions.csv,spreadsheet,2025-02-03,Hyatt,Hotel 2 nights client trip,expense,388.0,Line 24a - Travel,100.0,388.0,0.95,high,Audit-sensitive category: Travel; No supporting receipt for substantiation-required expense
transactions.csv,spreadsheet,2025-02-20,Steakhouse 55,Client dinner,expense,240.0,Line 24b - Deductible meals (50%),50.0,120.0,0.95,high,Audit-sensitive category: Meals; No supporting receipt for substantiation-required expense
transactions.csv,spreadsheet,2025-03-01,WeWork,Coworking desk monthly,expense,350.0,Line 20b - Rent/lease - other business property,100.0,350.0,0.95,low,
transactions.csv,spreadsheet,2025-03-12,Best Buy,Laptop for business,expense,2399.0,Line 13 - Depreciation / Section 179,100.0,2399.0,0.9,medium,Audit-sensitive category: Depreciation/179
transactions.csv,spreadsheet,2025-03-30,Nordstrom,New suit,expense,650.0,Line NONDEDUCTIBLE - Non-deductible / personal,0.0,0.0,0.95,high,Personal / non-deductible expense claimed
transactions.csv,spreadsheet,2025-04-05,Acme Corp,Project milestone payment,income,8500.0,,100.0,0.0,0.0,low,
transactions.csv,spreadsheet,2025-04-18,Shell,Gas - client site visits,expense,300.0,Line 9 - Car and truck expenses,100.0,300.0,0.95,high,Audit-sensitive category: Vehicle expense; No supporting receipt for substantiation-required expense; Cash payment >$200 (weak audit trail)
transactions.csv,spreadsheet,2025-05-02,LegalZoom,LLC filing + legal,expense,299.0,Line 17 - Legal and professional services,100.0,299.0,0.95,low,
transactions.csv,spreadsheet,2025-05-15,Staples,Office supplies,expense,84.25,Line 22 - Supplies,100.0,84.25,0.95,low,
transactions.csv,spreadsheet,2025-06-01,State Farm,Business liability insurance,expense,540.0,Line 15 - Insurance (other than health),100.0,540.0,0.95,low,
transactions.csv,spreadsheet,2024-12-28,Verizon,Phone bill (prior year),expense,95.0,Line 25 - Utilities,100.0,95.0,0.9,high,Date outside tax year 2025
